last name,first name,other,full_name,api_gender,api_gender_final
Detre,Ors H.,,Ors H. Detre,unknown,unknown
Khassanov,Yerbolat,,Yerbolat Khassanov,unknown,unknown
La Haye,Reuben N.,,Reuben N. La Haye,male,male
Zurek,Dave R.,,Dave R. Zurek,male,male
Cherng,Hsiang-En,,Hsiang-En Cherng,unknown,unknown
Huang,Xin-Ru,,Xin-Ru Huang,andy,andy
Sandev,Trifce,,Trifce Sandev,unknown,unknown
Wu,Allen C. -H.,,Allen C. -H. Wu,male,male
Tanveer,Md. Siddiqur Rahman,,Md. Siddiqur Rahman Tanveer,unknown,unknown
Rai,Juhi H.,,Juhi H. Rai,female,female
Murphy,Robin R.,,Robin R. Murphy,mostly_male,male
Patel,Nimesh,,Nimesh Patel,unknown,unknown
Agarap,Abien Fred,,Abien Fred Agarap,unknown,unknown
Shah,Abhay G.,,Abhay G. Shah,male,male
Márquez,María Auxiliadora,,María Auxiliadora Márquez,mostly_female,female
Kanhe,Nilesh S.,,Nilesh S. Kanhe,unknown,unknown
Tredenick,Eloise C.,,Eloise C. Tredenick,female,female
Grist,David A. M.,,David A. M. Grist,male,male
Gamper,La.,,La. Gamper,unknown,unknown
Wu,Jung-Hsuan,,Jung-Hsuan Wu,unknown,unknown
Nguyen,Nghiem V.,,Nghiem V. Nguyen,andy,andy
Fu,Cheng Peng,,Cheng Peng Fu,andy,andy
Arefe,Ghidewon,,Ghidewon Arefe,unknown,unknown
Suzuki,Ryuiji,,Ryuiji Suzuki,unknown,unknown
Ravat,Uma V.,,Uma V. Ravat,female,female
Gunatilleka,Danul K.,,Danul K. Gunatilleka,unknown,unknown
Zhuang,Wei Feng,,Wei Feng Zhuang,andy,andy
Ginestet,Cedric E.,,Cedric E. Ginestet,male,male
Parfrey,Kyle P.,,Kyle P. Parfrey,mostly_female,female
Pimentel,Bruto Max,,Bruto Max Pimentel,male,male
Hannan,Raquibul,,Raquibul Hannan,unknown,unknown
Chen,Shaomin,,Shaomin Chen,unknown,unknown
Negash,Awoke,,Awoke Negash,unknown,unknown
Nieuwenhuizen,Th. M.,,Th. M. Nieuwenhuizen,unknown,unknown
Carrera,Jose Luis V.,,Jose Luis V. Carrera,male,male
Sivanesan,Vishagan,,Vishagan Sivanesan,unknown,unknown
Alexey,Bobtsov,,Bobtsov Alexey,unknown,unknown
Frost,Mark I,,Mark I Frost,male,male
Yeo,Yeon-Mi,,Yeon-Mi Yeo,unknown,unknown
Sanchez-Valencia,Juan-Ramon,,Juan-Ramon Sanchez-Valencia,unknown,unknown
Boulmane,Lahsen,,Lahsen Boulmane,unknown,unknown
Lin,Hui-Wen,,Hui-Wen Lin,andy,andy
Breaban,Mihaela Elena,,Mihaela Elena Breaban,female,female
Kabanov,Viktor V,,Viktor V Kabanov,male,male
-H.,Wang Z.,,Wang Z. -H.,andy,andy
Tan,Adrian Teck Keng,,Adrian Teck Keng Tan,male,male
Caretta,Ottone,,Ottone Caretta,male,male
Li,Guang-Bing,,Guang-Bing Li,unknown,unknown
Noei,Heshmat,,Heshmat Noei,unknown,unknown
Tabor,Vedrana Högqvist,,Vedrana Högqvist Tabor,female,female
Cohen,LF,,LF Cohen,unknown,unknown
Martínez-García,Anaís,,Anaís Martínez-García,unknown,unknown
Zhang,Lucy Liuxuan,,Lucy Liuxuan Zhang,female,female
Shafaat,Ahmed Bin,,Ahmed Bin Shafaat,male,male
Das,Shankar P.,,Shankar P. Das,male,male
Jones,Hugh R. R.,,Hugh R. R. Jones,male,male
Alonso,Daniel Calvo,,Daniel Calvo Alonso,male,male
Waldvogel,Siegfried R.,,Siegfried R. Waldvogel,male,male
Bui,Trung H.,,Trung H. Bui,mostly_male,male
Baba,Mohamed Ahmed Mohamed,,Mohamed Ahmed Mohamed Baba,male,male
Clements,Robert Alan,,Robert Alan Clements,male,male
Nardelli,Pedro J. H.,,Pedro J. H. Nardelli,male,male
Flores,Marco Antonio Rodríguez,,Marco Antonio Rodríguez Flores,male,male
Tay,Noel Nuo Wi,,Noel Nuo Wi Tay,male,male
Khandaker,32 M.,,32 M. Khandaker,unknown,unknown
Fukushi,Hinako,,Hinako Fukushi,female,female
Pérez-Ruiz,Diego Andrés,,Diego Andrés Pérez-Ruiz,male,male
